// UnigramTextClassifier created this file from 2482 characters.
Classification	foo
Total	2482
9	2	10.2773
10	32	6.27729
32	151	4.03888
33	50	5.63343
34	10	7.95536
36	3	9.69232
40	9	8.10736
41	9	8.10736
43	1	11.2773
44	6	8.69232
45	204	3.60486
46	49	5.66258
47	14	7.46993
48	85	4.8679
49	70	5.148
50	71	5.12754
51	47	5.7227
52	31	6.32309
53	37	6.06783
54	35	6.148
55	14	7.46993
56	28	6.46993
57	24	6.69233
58	32	6.27729
59	5	8.95536
60	73	5.08746
61	5	8.95536
62	73	5.08746
63	2	10.2773
64	8	8.27729
65	8	8.27729
67	3	9.69232
68	5	8.95536
69	6	8.69232
70	4	9.27729
71	1	11.2773
72	1	11.2773
73	3	9.69232
76	2	10.2773
77	8	8.27729
79	2	10.2773
80	6	8.69232
82	7	8.46993
83	9	8.10736
84	9	8.10736
86	3	9.69232
87	5	8.95536
91	2	10.2773
93	2	10.2773
95	3	9.69232
97	46	5.75373
98	40	5.95536
99	51	5.60486
100	54	5.5224
101	120	4.3704
102	54	5.5224
103	37	6.06783
104	39	5.99189
105	73	5.08746
106	16	7.27729
107	33	6.23289
108	47	5.7227
109	39	5.99189
110	65	5.25492
111	80	4.95536
112	41	5.91974
113	14	7.46993
114	64	5.27729
115	42	5.88497
116	71	5.12754
117	40	5.95536
118	24	6.69233
119	31	6.32309
120	33	6.23289
121	29	6.41931
122	30	6.3704
