// NgramTextClassifier created this file from 2044556 characters.
Classification	Ham
Total	2044556
2313	1606	10.3141
2314	660	11.597
2336	394	12.3413
2338	6	18.3784
2339	4	18.9634
2347	6	18.3784
2349	2	19.9634
2350	20	16.6414
2351	2	19.9634
2364	228	13.1305
2366	3	19.3784
2369	1	20.9634
2370	2	19.9634
2372	5	18.6414
2373	3	19.3784
2374	2	19.9634
2375	1	20.9634
2379	1	20.9634
2380	2	19.9634
2383	2	19.9634
2386	1	20.9634
2387	5	18.6414
2388	3	19.3784
2391	4	18.9634
2393	2	19.9634
2395	1	20.9634
2402	1000	10.9976
2403	9	17.7934
2404	3	19.3784
2406	1003	10.9932
2408	3	19.3784
2409	1	20.9634
2412	5	18.6414
2416	2	19.9634
2418	1	20.9634
2420	253	12.9804
2422	253	12.9804
2423	2	19.9634
2427	2	19.9634
2464	2	19.9634
2467	1	20.9634
2569	3850	9.05271
2570	6077	8.39421
2592	5940	8.42711
2594	185	13.432
2595	11	17.5039
2596	7	18.156
2597	1	20.9634
2598	3	19.3784
2599	19	16.7154
2600	72	14.7934
2602	29	16.1054
2603	21	16.571
2604	1	20.9634
2605	718	11.4755
2606	55	15.182
2607	10	17.6414
2608	1	20.9634
2609	31	16.0092
2610	14	17.156
2611	7	18.156
2612	64	14.9634
2613	7	18.156
2614	1	20.9634
2615	8	17.9634
2616	1	20.9634
2617	1	20.9634
2618	8	17.9634
2620	181	13.4635
2621	28	16.156
2622	4275	8.90165
2624	5	18.6414
2625	420	12.2491
2626	197	13.3413
2627	1175	10.7649
2628	1486	10.4261
2629	505	11.9832
2630	1122	10.8315
2631	77	14.6966
2632	140	13.8341
2633	720	11.4715
2634	78	14.678
2635	25	16.3195
2636	2241	9.83343
2637	1211	10.7214
2638	90	14.4715
2639	289	12.7884
2640	627	11.671
2641	16	16.9634
2642	4583	8.80128
2643	1182	10.7563
2644	1121	10.8328
2645	151	13.725
2646	25	16.3195
2647	150	13.7345
2648	2163	9.88454
2649	164	13.6058
2650	10	17.6414
2651	59	15.0807
2653	1	20.9634
2655	85	14.554
2656	2	19.9634
2657	414	12.2699
2658	216	13.2085
2659	325	12.6191
2660	192	13.3784
2661	182	13.4556
2662	299	12.7394
2663	65	14.941
2664	649	11.6213
2665	302	12.725
2666	25	16.3195
2667	40	15.6414
2668	123	14.0208
2669	202	13.3051
2670	98	14.3486
2671	255	12.969
2672	229	13.1242
2673	17	16.8759
2674	166	13.5883
2675	349	12.5163
2676	596	11.7442
2677	72	14.7934
2678	42	15.571
2679	262	12.9299
2680	3	19.3784
2681	45	15.4715
2682	3	19.3784
2683	3	19.3784
2684	226	13.1432
2685	4	18.9634
2686	3	19.3784
4931	1	20.9634
5152	1	20.9634
8072	1	20.9634
8081	5	18.6414
8083	17	16.8759
8086	5	18.6414
8087	7	18.156
8096	2	19.9634
8099	4	18.9634
8100	2	19.9634
8105	3	19.3784
8107	2	19.9634
8109	9	17.7934
8123	2	19.9634
8147	1	20.9634
8160	1	20.9634
8169	1	20.9634
8201	13	17.2629
8202	3265	9.29049
8211	1	20.9634
8224	25080	6.34911
8225	13	17.2629
8226	1195	10.7406
8227	174	13.5204
8228	104	14.2629
8229	11	17.5039
8230	51	15.2909
8231	152	13.7154
8232	9448	7.75756
8233	11	17.5039
8234	127	13.9747
8235	2174	9.87722
8236	10	17.6414
8237	3014	9.40589
8238	177	13.4958
8239	145	13.7834
8240	1971	10.0186
8241	4315	8.88821
8242	8841	7.85336
8243	617	11.6942
8244	359	12.4755
8245	512	11.9634
8246	566	11.8187
8247	725	11.4615
8248	722	11.4675
8249	338	12.5625
8250	104	14.2629
8251	49	15.3486
8252	7098	8.17016
8253	89	14.4876
8254	820	11.2839
8255	19	16.7154
8256	14	17.156
8257	3585	9.1556
8258	1226	10.7036
8259	1121	10.8328
8260	818	11.2874
8261	2572	9.63468
8262	1657	10.269
8263	972	11.0385
8264	813	11.2962
8265	2908	9.45754
8266	512	11.9634
8267	451	12.1464
8268	907	11.1384
8269	2442	9.70951
8270	712	11.4876
8271	1633	10.29
8272	916	11.1242
8273	202	13.3051
8274	1302	10.6168
8275	3964	9.01061
8276	2859	9.48206
8277	700	11.5121
8278	248	13.0092
8279	1689	10.2414
8280	133	13.9081
8281	352	12.5039
8282	31	16.0092
8283	2889	9.467
8284	53	15.2354
8285	1	20.9634
8286	2	19.9634
8287	44	15.5039
8288	15	17.0565
8289	11157	7.51769
8290	7377	8.11454
8291	5382	8.56943
8292	3716	9.10382
8293	2742	9.54234
8294	10295	7.6337
8295	2462	9.69774
8296	4332	8.88254
8297	10167	7.65175
8298	1031	10.9535
8299	584	11.7735
8300	4656	8.77848
8301	4678	8.77168
8302	2440	9.71069
8303	6437	8.31118
8304	4528	8.8187
8305	256	12.9634
8306	2690	9.56997
8307	6893	8.21244
8308	15866	7.00971
8309	1877	10.0891
8310	767	11.3803
8311	8931	7.83875
8312	740	11.432
8313	1458	10.4536
8314	1043	10.9368
8315	35	15.8341
8316	61	15.0326
8317	15	17.0565
8318	4	18.9634
