// NgramTextClassifier created this file from 3538118 characters.
Classification	Spam
Total	3538118
276	1	21.7546
277	1	21.7546
2313	1807	10.9352
2314	175	14.3033
2336	533	12.6966
2338	1	21.7546
2340	5	19.4326
2342	39	16.4691
2344	29	16.8966
2346	27	16.9997
2352	46	16.231
2353	10	18.4326
2354	1	21.7546
2357	2	20.7546
2360	2	20.7546
2361	1	21.7546
2364	841	12.0386
2365	80	15.4326
2367	12	18.1696
2369	15	17.8477
2370	2	20.7546
2371	8	18.7546
2372	2	20.7546
2373	7	18.9472
2374	15	17.8477
2375	4	19.7546
2376	8	18.7546
2377	15	17.8477
2378	1	21.7546
2381	3	20.1696
2382	2	20.7546
2383	4	19.7546
2384	8	18.7546
2386	4	19.7546
2387	25	17.1107
2388	24	17.1696
2389	6	19.1696
2390	1	21.7546
2391	6	19.1696
2393	4	19.7546
2401	4	19.7546
2402	1197	11.5293
2403	130	14.7322
2404	2	20.7546
2405	3	20.1696
2406	1188	11.5402
2408	14	17.9472
2409	66	15.7102
2410	2	20.7546
2412	9	18.5846
2413	71	15.6048
2414	6	19.1696
2415	4	19.7546
2416	11	18.2951
2419	7	18.9472
2420	22	17.2951
2422	1	21.7546
2423	12	18.1696
2425	2	20.7546
2426	26	17.0541
2427	22	17.2951
2429	2	20.7546
2434	20	17.4326
2435	4	19.7546
2437	1	21.7546
2445	4	19.7546
2447	4	19.7546
2451	8	18.7546
2453	4	19.7546
2464	24	17.1696
2465	4	19.7546
2473	1	21.7546
2480	3	20.1696
2481	2	20.7546
2482	1	21.7546
2483	7	18.9472
2484	3	20.1696
2485	5	19.4326
2486	2	20.7546
2487	10	18.4326
2488	6	19.1696
2489	2	20.7546
2490	14	17.9472
2491	6	19.1696
2492	4	19.7546
2493	5	19.4326
2495	3	20.1696
2496	15	17.8477
2497	7	18.9472
2498	8	18.7546
2500	1	21.7546
2501	1	21.7546
2505	3	20.1696
2506	2	20.7546
2507	1	21.7546
2509	2	20.7546
2510	1	21.7546
2512	3	20.1696
2515	2	20.7546
2516	1	21.7546
2517	3	20.1696
2518	5	19.4326
2519	2	20.7546
2524	1	21.7546
2559	1	21.7546
2569	3967	9.80072
2570	7404	8.90046
2579	1	21.7546
2587	60	15.8477
2592	14434	7.93737
