// UnigramTextClassifier created this file from 2044556 characters. It was created on 2003-08-07 11:30:25.
Classification	Ham
Total	2044556
9	5503	8.53735
10	47157	5.43817
19	1	20.9634
20	1	20.9634
32	232735	3.13503
33	499	12.0005
34	4024	8.98894
35	514	11.9577
36	244	13.0326
37	214	13.2219
38	225	13.1496
39	2998	9.41357
40	9665	7.7248
41	9746	7.71276
42	708	11.4958
43	2396	9.73694
44	12587	7.34371
45	40162	5.66981
46	57956	5.14069
47	12800	7.3195
48	47062	5.44108
49	28188	6.18056
50	30567	6.06367
51	10371	7.62309
52	10336	7.62797
53	9439	7.75894
54	10011	7.67406
55	8945	7.83649
56	9788	7.70656
57	8524	7.90604
58	31065	6.04035
59	4688	8.7686
60	7947	8.00716
61	3727	9.09956
62	13875	7.20316
63	1682	10.2474
64	10744	7.57211
65	11017	7.53591
66	3844	9.05496
67	5006	8.67391
68	6038	8.4035
69	9472	7.7539
70	5278	8.59758
71	2602	9.61795
72	2438	9.71187
73	9513	7.74767
74	1087	10.8772
75	1493	10.4194
76	6010	8.41021
77	10427	7.61532
78	4013	8.99289
79	4359	8.87358
80	9511	7.74797
81	751	11.4107
82	8369	7.93252
83	11583	7.46363
84	13558	7.2365
85	2700	9.56461
86	1713	10.221
87	2789	9.51782
88	3086	9.37183
89	953	11.067
90	590	11.7588
91	3458	9.20763
92	85	14.554
93	3494	9.19269
94	39	15.678
95	8633	7.88771
96	34	15.8759
97	84908	4.58974
98	21471	6.57325
99	47304	5.43368
100	37741	5.75951
101	129124	3.98496
102	27448	6.21894
103	27331	6.22511
104	46171	5.46866
105	89527	4.51332
106	4219	8.92067
107	11650	7.45531
108	53170	5.26503
109	45486	5.49022
110	78874	4.69609
111	102575	4.31704
112	28257	6.17704
113	1953	10.0319
114	74900	4.77068
115	81846	4.64273
116	101429	4.33325
117	37296	5.77662
118	12914	7.30671
119	17202	6.89307
120	10318	7.63048
121	19270	6.72929
122	10183	7.64948
123	77	14.6966
124	304	12.7154
125	79	14.6596
126	270	12.8865
136	1	20.9634
145	5	18.6414
146	29	16.1054
147	17	16.8759
148	16	16.9634
150	5	18.6414
151	45	15.4715
160	29	16.1054
163	6	18.3784
164	2	19.9634
169	3	19.3784
171	2	19.9634
173	9	17.7934
176	1	20.9634
187	2	19.9634
191	1	20.9634
211	1	20.9634
224	2	19.9634
225	6	18.3784
228	8	17.9634
231	2	19.9634
232	1	20.9634
233	16	16.9634
234	1	20.9634
242	4	18.9634
246	2	19.9634
252	6	18.3784
