// UnigramTextClassifier created this file from 3538072 characters. It was created on 2003-08-06 17:11:22.
Classification	Spam
Total	3538072
1	2	20.7545
9	6576	9.07154
10	70769	5.6437
12	1	21.7545
17	3	20.1696
18	2	20.7545
19	2	20.7545
20	2	20.7545
21	2	20.7545
22	1	21.7545
26	1	21.7545
27	187	14.2076
28	1	21.7545
29	1	21.7545
30	2	20.7545
31	1	21.7545
32	394037	3.16656
33	3038	10.1856
34	38689	6.5149
35	4391	9.6542
36	2704	10.3537
37	2493	10.4709
38	2637	10.3899
39	2308	10.5821
40	6876	9.00718
41	6893	9.00362
42	4575	9.59498
43	13719	8.01064
44	13171	8.06946
45	27729	6.99542
46	47578	6.21652
47	42180	6.39026
48	70116	5.65708
49	42709	6.37228
50	46500	6.24959
51	37841	6.54687
52	22504	7.29664
53	24257	7.18842
54	20085	7.4607
55	17921	7.62517
56	20740	7.4144
57	22627	7.28877
58	24786	7.15729
59	7419	8.89752
60	42836	6.368
61	40901	6.43468
62	42997	6.36258
63	1486	11.2173
64	7131	8.95464
65	50797	6.12208
66	23304	7.24624
67	27632	7.00048
68	36323	6.60594
69	28386	6.96164
70	25108	7.13867
71	19460	7.50631
72	16836	7.71527
73	34526	6.67914
74	13243	8.06159
75	12853	8.10471
76	18065	7.61362
77	25586	7.11146
78	24285	7.18675
79	23174	7.25431
80	23069	7.26086
81	14411	7.93965
82	26197	7.07742
83	27215	7.02242
84	35493	6.63929
85	15393	7.84454
86	15313	7.85206
87	16984	7.70264
88	13436	8.04072
89	16861	7.71313
90	15565	7.82851
91	2402	10.5245
92	83	15.3795
93	2411	10.5191
94	151	14.5161
95	11458	8.27046
96	32	16.7545
97	112679	4.97267
98	43095	6.3593
99	67039	5.72182
100	61584	5.84426
101	168163	4.39503
102	49118	6.17057
103	50142	6.1408
104	60224	5.87648
105	114437	4.95034
106	17354	7.67155
107	21074	7.39136
108	83775	5.4003
109	58100	5.92828
110	102656	5.10707
111	131786	4.74669
112	47992	6.20403
113	13475	8.03653
114	100650	5.13554
115	92453	5.2581
116	134124	4.72132
117	50079	6.14261
118	27037	7.03188
119	37265	6.569
120	19168	7.52812
121	36751	6.58904
122	26242	7.07494
123	122	14.8238
124	18	17.5846
125	130	14.7322
126	219	13.9797
127	1	21.7545
128	5	19.4326
129	45	16.2627
130	192	14.1696
131	68	15.6671
132	4	19.7545
133	8	18.7545
134	6	19.1696
135	4	19.7545
137	13	18.0541
138	18	17.5846
139	4	19.7545
140	8	18.7545
141	24	17.1696
143	16	17.7545
144	12	18.1696
145	9	18.5846
146	228	13.9216
147	58	15.8966
148	52	16.0541
149	20	17.4326
150	16	17.7545
151	16	17.7545
152	8	18.7545
153	2	20.7545
154	2	20.7545
156	1	21.7545
158	1	21.7545
159	2	20.7545
160	615	12.4901
161	276	13.646
162	67	15.6884
163	114	14.9216
164	102	15.0821
165	40	16.4326
166	54	15.9996
167	61	15.8238
168	34	16.6671
169	54	15.9996
170	62	15.8003
171	62	15.8003
172	42	16.3622
173	89	15.2788
174	109	14.9863
175	47	16.1999
176	274	13.6565
177	205	14.0751
178	136	14.6671
179	106	15.0266
180	228	13.9216
181	246	13.812
182	115	14.909
183	168	14.3622
184	369	13.2271
185	203	14.0892
186	277	13.6408
187	247	13.8062
188	280	13.6252
189	134	14.6884
190	178	14.2788
191	179	14.2707
192	540	12.6777
193	229	13.9153
194	213	14.0198
195	135	14.6777
196	57	15.9216
197	131	14.7211
198	111	14.9601
199	367	13.2349
200	78	15.4691
201	60	15.8476
202	75	15.5257
203	37	16.5451
204	133	14.6993
205	86	15.3283
206	153	14.4971
207	129	14.7433
208	133	14.6993
209	60	15.8476
210	82	15.397
211	72	15.5846
212	52	16.0541
213	69	15.646
214	108	14.9996
215	92	15.231
216	47	16.1999
217	82	15.397
218	75	15.5257
219	42	16.3622
220	30	16.8476
221	137	14.6565
222	36	16.5846
223	83	15.3795
224	106	15.0266
225	35	16.6252
226	54	15.9996
227	16	17.7545
228	67	15.6884
229	29	16.8966
230	45	16.2627
231	106	15.0266
232	85	15.3451
233	417	13.0506
234	43	16.3283
235	54	15.9996
236	44	16.2951
237	61	15.8238
238	91	15.2467
239	5	19.4326
240	15	17.8476
241	18	17.5846
242	23	17.231
243	41	16.397
244	38	16.5066
245	40	16.4326
246	62	15.8003
247	74	15.5451
248	40	16.4326
249	11	18.2951
250	56	15.9472
251	35	16.6252
252	58	15.8966
253	52	16.0541
254	25	17.1107
255	46	16.231
